Country.of.Origin,Harvest.Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
Brazil,2010,8.295,7.92,7.96,7.75,8.125,8.0,10.0,10.0,10.0,8.125,86.17
Brazil,2011,8.017142857142856,7.929285714285714,7.684285714285714,7.726428571428571,7.690714285714286,7.737857142857143,10.0,10.0,10.0,7.732857142857143,84.51785714285714
Brazil,2012,7.625,7.6,7.408499999999999,7.5005,7.508,7.513,9.9665,9.9665,9.9665,7.497,82.5505
Brazil,2013,7.6475,7.6274999999999995,7.46,7.625,7.6675,7.8325,9.8325,9.8325,10.0,7.5425,83.0625
Brazil,2014,7.451428571428571,7.5,7.488571428571428,7.4399999999999995,7.512857142857143,7.522857142857142,9.904285714285715,9.428571428571429,9.904285714285715,7.5,81.6557142857143
Brazil,2015,7.548571428571429,7.63,7.557142857142857,7.5371428571428565,7.607142857142857,7.558571428571428,10.0,10.0,10.0,7.571428571428571,83.00999999999999
Brazil,2016,7.462777777777778,7.472222222222222,7.42611111111111,7.467777777777777,7.4766666666666675,7.403333333333332,9.814444444444444,9.88888888888889,9.962777777777779,7.568888888888889,81.94388888888889
Burundi,2012,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,83.33
Burundi,2016,7.08,7.25,7.17,7.33,7.08,7.08,10.0,10.0,10.0,7.33,80.33
China,2013,7.3125,7.2925,7.1875,7.3125,7.395,7.23,9.8325,9.8325,9.665,7.335,80.39750000000001
China,2015,7.7508333333333335,7.736666666666667,7.583333333333333,7.666666666666667,7.633333333333333,7.654166666666666,10.0,10.0,10.0,7.7508333333333335,83.77083333333333
Colombia,2011,7.4575,7.5225,7.3325,7.395,7.4399999999999995,7.605,10.0,10.0,10.0,7.3975,82.14750000000001
Colombia,2012,7.637333333333333,7.621666666666667,7.576666666666667,7.563666666666666,7.6466666666666665,7.647333333333333,9.933333333333334,9.955666666666668,9.955666666666668,7.614,83.15266666666666
Colombia,2013,7.64925,7.556749999999999,7.51875,7.566750000000001,7.597499999999999,7.70825,9.9,9.81675,9.91675,7.625,82.85575
Colombia,2014,7.702083333333333,7.624583333333334,7.570833333333333,7.676666666666667,7.663333333333333,7.7437499999999995,10.0,10.0,9.86125,7.695,83.535
Colombia,2015,7.795333333333334,7.6899999999999995,7.637333333333333,7.749333333333333,7.771333333333333,7.711333333333333,9.777999999999999,10.0,10.0,7.656000000000001,83.78933333333333
Colombia,2016,7.657407407407407,7.657407407407407,7.563703703703704,7.59,7.623703703703704,7.745555555555556,9.975185185185184,9.975185185185184,10.0,7.662962962962963,83.45296296296296
